,0
Here Comes Summer,182.0
Angel Face,376.0
Till There Was You,390.0
The Shape I'm In,240.0
Five Feet High And Rising,228.0
My Wish Came True,132.0
Suzie Baby,308.0
Forty Miles Of Bad Road,135.0
Just A Little Too Much,117.0
Sweeter Than You,108.0
My Heart Is An Open Book,72.0
Chapel Of Dreams,444.0
Sal's Got A Sugar Lip,567.0
What Is Love?,195.0
See You In September,322.0
So High So Low,520.0
What A Diff'rence A Day Makes,160.0
On An Evening In Roma,767.0
A Big Hunk O' Love,14.0
With Open Arms,429.0
It Was I,176.0
Linda Lu,598.0
Boogie Bear,292.0
Thank You Pretty Baby,224.0
I Got Stripes,473.0
Johnny Reb,432.0
The Mummy,312.0
I've Been There,530.0
The Caterpillar Crawl,343.0
The Three Bells (The Jimmy Brown Story),184.0
Okefenokee,387.0
Kissin' Time,187.0
Midnight Flyer,612.0
Got The Feeling,270.0
True True Happiness,486.0
I'm Gonna Be A Wheel Some Day,221.0
Lavender-Blue,54.0
Robbin' The Cradle,650.0
Two Fools,270.0
My Own True Love,396.0
Don't Take The Stars,196.0
Igmoo (The Pride Of South Central High),190.0
Goodbye Charlie,270.0
If You Don't Want My Lovin',201.0
Wish It Were Me,427.0
Come On And Get Me,232.0
I'm A Hog For You,304.0
Somethin Else,522.0
Plenty Good Lovin',483.0
A Lover's Prayer,219.0
Where,396.0
You're Gonna Miss Me,340.0
I Want To Walk You Home,104.0
"Darling, I Love You",378.0
"I Loves You, Porgy",270.0
I'm Gonna Get Married,42.0
Fools Hall Of Fame,261.0
My Heart Became Of Age,222.0
Don't Destroy Me,94.0
You Better Know It,370.0
There Comes A Time,355.0
The Battle Of Kookamonga,140.0
I Ain't Never,336.0
Old Shep,182.0
You Went Back On Your Word,216.0
The Three Bells,17.0
Boo Boo Stick Beat,392.0
Makin' Love,360.0
Tucumcari,288.0
It Happened Today,472.0
Some Kind-A Earthquake,296.0
"First Love, First Tears",531.0
The Story Of Our Love,186.0
Red River Rock,85.0
So Young,198.0
Sleep Walk,18.0
Poco-Loco,624.0
Fancy Nancy,355.0
Mary Lou,416.0
The Angels Listened In,352.0
('til) I Kissed You,64.0
I Dig Girls,276.0
Say Man,240.0
Gilee,328.0
Morgen,221.0
Poison Ivy,112.0
"There, I've Said It Again",405.0
Pretend,399.0
The Hunch,497.0
Just Ask Your Heart,112.0
Symphony,246.0
Teach Me Tiger,258.0
Shadows,261.0
The Best Of Everything,310.0
Just To Be With You,690.0
Candy Apple Red,194.0
Woo-Hoo,192.0
The Enchanted Sea,195.0
Joey's Song,552.0
Goodnight My Love (Pleasant Dreams),384.0
Teen Beat,64.0
If I Give My Heart To You,408.0
Living Doll,390.0
Honestly And Truly,520.0
I've Been Around,297.0
I'll Walk The Line,354.0
Torquay,507.0
Battle Hymn Of The Republic,208.0
Lonely Street,80.0
Midnight Stroll,350.0
Beyond The Sunset,355.0
Put Your Head On My Shoulder,36.0
Tiny Tim,567.0
One More Chance,666.0
Deck Of Cards,119.0
Primrose Lane,168.0
Love Potion No. 9,391.0
Just As Much As Ever,672.0
Uh! Oh! Part 1,270.0
The Happy Reindeer,204.0
The Sound Of Music,270.0
(Seven Little Girls) Sitting In The Back Seat,162.0
"(If You Cry) True Love, True Love",363.0
High School U.S.A.,364.0
Smokie-Part 2,190.0
Teenage Hayride,186.0
Riverboat,249.0
Climb Ev'ry Mountain,370.0
This Time Of The Year,330.0
Mr. Blue,20.0
The Clouds,574.0
Misty,204.0
Livin' Dangerously,97.0
Come Into My Heart,280.0
In The Mood,76.0
Uh! Oh! Part 2,168.0
Danny Boy,180.0
Be My Guest,112.0
Mighty Good,342.0
Swingin' On A Rainbow,234.0
Reveille Rock,325.0
God Bless America,396.0
Since I Made You Cry,279.0
Mediterranean Moon,190.0
I Forgot More Than You'll Ever Know,240.0
So Many Ways,96.0
Scarlet Ribbons (For Her Hair),182.0
Just Come Home,315.0
Tear Drop,253.0
My Little Marine,252.0
Oh! Carol,162.0
Run Red Run,288.0
Mary Don't You Weep,287.0
I Don't Know What It Is,549.0
I'll Take Care Of You,267.0
The Whiffenpoof Song,192.0
Mack The Knife,26.0
Smokie - Part 2,204.0
This Friendly World,156.0
I Can't Say Goodbye,273.0
Heartaches By The Number,20.0
Skokiaan (South African Song),456.0
Don't Let The Sun Catch You Cryin',190.0
First Name Initial,360.0
Tell Her For Me,462.0
Baciare Baciare (Kissing Kissing),430.0
No Love Have I,486.0
Mumblin' Mosie,160.0
If I Had A Girl,310.0
Bonnie Came Back,234.0
Not One Minute More,176.0
Honey Hush,477.0
The Happy Muleteer,348.0
Amapola,378.0
Let Them Talk,100.0
Little Things Mean A Lot,315.0
That Old Feeling,275.0
Secret Of Love,364.0
Sandy,225.0
The Old Payola Roll Blues (Side I),99.0
Teensville,219.0
Up Town,564.0
Way Down Yonder In New Orleans,45.0
It's Time To Cry,60.0
Little Coco Palm,324.0
Among My Souvenirs,105.0
The Big Hurt,51.0
Just Give Me A Ring,192.0
Waltzing Matilda,328.0
Darling Lorraine,506.0
The Village Of St. Bernadette,91.0
Whatcha' Gonna Do,184.0
A Closer Walk,279.0
T.L.C. Tender Love And Care,240.0
"Go, Jimmy, Go",80.0
"Shimmy, Shimmy, Ko-Ko-Bop",384.0
Sleepy Lagoon,325.0
Pretty Blue Eyes,162.0
Straight A's In Love,168.0
Time And The River,240.0
"Too Pooped To Pop (""Casey"")",252.0
Lucky Devil,425.0
Crazy Arms,468.0
(Baby) Hully Gully,644.0
Too Much Tequila,330.0
Eternally,328.0
The Same Old Me,306.0
Down By The Station,195.0
Anyway The Wind Blows,350.0
El Paso,22.0
Chattanooga Shoe Shine Boy,238.0
Tracy's Theme,182.0
Why I'm Walkin',249.0
Adam And Eve,180.0
Never Let Me Go,279.0
Where Or When,48.0
Outside My Window,252.0
What Do You Want?,186.0
Don't Fence Me In,360.0
How Deep Is The Ocean,186.0
Delaware,242.0
Why Do I Love You So,588.0
Midnite Special,208.0
Running Bear,27.0
Teen Angel,18.0
Rockin' Little Angel,352.0
Let It Be Me,105.0
What In The World's Come Over You,80.0
At My Front Door,392.0
China Doll,494.0
Lady Luck,182.0
Down By The Riverside,480.0
Teenage Sonata,350.0
Caravan,384.0
"Two Thousand, Two Hundred, Twenty-Three Miles",134.0
El Matador,352.0
Don't Deceive Me,496.0
Rockin' Red Wing,320.0
Someday (You'll Want Me to Want You),392.0
Starbright,275.0
Little Bitty Girl,285.0
Summer Set,330.0
(There Was A) Tall Oak Tree,345.0
(Welcome) New Lovers,216.0
Wake Me When It's Over,400.0
Teen-Ex,329.0
Beatnik Fly,195.0
Teddy,187.0
Harbor Lights,128.0
Am I That Easy To Forget,425.0
O Dio Mio,120.0
Jenny Lou,402.0
Besame Mucho (Part I),210.0
Just One Time,319.0
Before I Grow Too Old,168.0
Baby What You Want Me To Do,518.0
Mama,104.0
"Someone Loves You, Joe",291.0
Easy Lovin',280.0
Wild One,32.0
Clementine,189.0
Money (That's what I want),391.0
You Don't Know Me,585.0
Puppy Love,28.0
A Star Is Born (A Love Has Died),408.0
Earth Angel,399.0
Beautiful Obsession,356.0
Wheel Of Fortune,332.0
He'll Have To Go,46.0
City Lights,220.0
Angela Jones,405.0
Apple Green,377.0
Down The Aisle,182.0
The Urge,180.0
"The Theme From ""A Summer Place""",21.0
Sweet Nothin's,96.0
Footsteps,91.0
No If's - No And's,280.0
Just A Closer Walk With Thee,396.0
What Am I Living For,286.0
White Silver Sands,126.0
Tell Me That You Love Me,357.0
For Love,258.0
The Ties That Bind,333.0
"River, Stay 'Way From My Door",164.0
A Cottage For Sale,378.0
The Way Of A Clown,396.0
Biology,190.0
Fame And Fortune,170.0
Tuxedo Junction,164.0
The Madison,276.0
The Old Lamplighter,75.0
When You Wish Upon A Star,270.0
Always It's You,336.0
Got A Girl,240.0
Barbara,290.0
La Montana (If She Should Come To You),462.0
Nobody Loves Me Like You,300.0
Mister Lonely,219.0
Let The Little Girl Dance,140.0
Cradle Of Love,105.0
Sink The Bismark,54.0
Stairway To Heaven,135.0
Pink Chiffon,540.0
Exclusively Yours,496.0
Greenfields,40.0
You Were Born To Be Loved,188.0
National City,424.0
Mountain Of Love,399.0
Sixteen Reasons,72.0
Dutchman's Gold,360.0
Night,68.0
Ain't Gonna Be That Way,518.0
He'll Have To Stay,44.0
Jump Over,280.0
Ooh Poo Pah Doo - Part II,448.0
Theme For Young Lovers,350.0
Young Emotions,156.0
Another Sleepless Night,286.0
Banjo Boy,406.0
Lonely Winds,486.0
Doggin' Around,240.0
She's Just A Whole Lot Like You,99.0
"Theme From ""The Unforgiven"" (The Need For Love)",351.0
Something Happened,369.0
Honky-Tonk Girl,92.0
Down The Street To 301,255.0
Second Honeymoon,316.0
Johnny Freedom,276.0
Down Yonder,432.0
Train Of Love,288.0
Pennies From Heaven,312.0
There's A Star Spangled Banner Waving #2 (The Ballad Of Francis Powers),384.0
Jealous Of You (Tango Della Gelosia),209.0
Paper Roses,85.0
Won't You Come Home Bill Bailey,209.0
Theme From Adventures In Paradise,97.0
Too Young To Go Steady,355.0
That's When I Cried,415.0
All I Could Do Was Cry,495.0
Be Bop A-Lula,370.0
Cool Water,255.0
Love You So,133.0
Cathy's Clown,17.0
I Really Don't Want To Know,234.0
Do You Mind?,490.0
Hey Little One,528.0
Sticks And Stones,320.0
"Wake Me, Shake Me",459.0
Runaround,299.0
Wonderful World,180.0
A Rockin' Good Way (To Mess Around And Fall In Love),91.0
There's Something On Your Mind (Part 2),341.0
I Shot Mr. Lee,416.0
Mio Amore,444.0
I'm Gettin' Better,370.0
Bad Man Blunder,370.0
I Know One,188.0
Is A Blue Bird Blue,385.0
The Brigade Of Broken Hearts,324.0
Vaquero (Cowboy),99.0
Because They're Young,60.0
Bongo Bongo Bongo,234.0
Look For A Star - Part I,286.0
In The Still Of The Night,266.0
One Boy,486.0
Josephine,180.0
Revival,97.0
Alley-Oop,15.0
Everybody's Somebody's Fool,18.0
Candy Sweet,216.0
That's All You Gotta Do,84.0
Trouble In Paradise,260.0
Is There Any Chance,372.0
Delia Gone,198.0
Don't Come Knockin',231.0
How High The Moon (Part 1),380.0
Nobody Knows You When You're Down And Out,186.0
The Old Oaken Bucket,292.0
A Teenager Feels It Too,282.0
Many A Wonderful Moment,252.0
Look For A Star,208.0
Kookie Little Paradise,438.0
Mule Skinner Blues,90.0
Feel So Fine,196.0
This Bitter Earth,336.0
Shortnin' Bread,328.0
We Go Together,371.0
It Only Happened Yesterday,342.0
"The Wreck Of The ""John B""",576.0
"A Woman, A Lover, A Friend",180.0
Kommotion,468.0
This Old Heart,395.0
Brontosaurus Stomp,225.0
Alvin For President,190.0
My Shoes Keep Walking Back To You,450.0
Five Brothers,296.0
(You Were Made For) All My Love,156.0
I Walk The Line,396.0
And Now,345.0
Nice 'N' Easy,360.0
Journey Of Love,324.0
(I Can't Help You) I'm Falling Too,273.0
Let The Good Times Roll,240.0
The Lovin' Touch,504.0
Over The Mountain; Across The Sea,178.0
A Mess Of Blues,352.0
Big Boy Pete,700.0
Hot Rod Lincoln,627.0
Just Call Me (And I'll Understand),316.0
Yogi,80.0
A Kookie Little Paradise,549.0
Rocking Goose,360.0
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,15.0
I Love You In The Same Old Way,440.0
Over The Rainbow,240.0
In My Little Corner Of The World,140.0
Don't Let Love Pass Me By,170.0
Hush-Hush,150.0
It's Not The End Of Everything,156.0
"Please Help Me, I'm Falling",176.0
Ta Ta,322.0
Honest I Do,280.0
"Yes Sir, That's My Baby",204.0
The Last One To Know,96.0
Harmony,182.0
You're Looking Good,430.0
Malagueña,378.0
Shoppin' For Clothes,332.0
I'm Not Afraid,216.0
Isn't It Amazing,100.0
Dance With Me Georgie,95.0
My Hero,312.0
Volare,60.0
The Girl With The Story In Her Eyes,255.0
I'm Sorry,23.0
Let's Have A Party,370.0
Humdinger,236.0
Irresistable You,96.0
Senza Mamma (With No One),87.0
The Same One,192.0
Patsy,260.0
Midnight Lace - Part I,368.0
(Theme From) The Sundowners,93.0
Midnight Lace,336.0
