,0
Ooh Boy,792.0
The Way I Feel Tonight,408.0
Crazy On You,1178.0
Reach For It,324.0
Easy To Love,360.0
Point Of Know Return,392.0
You Can't Turn Me Off (In The Middle Of Turning Me On),264.0
Sentimental Lady,144.0
Blue Bayou,69.0
You Light Up My Life,25.0
Take Me To The Kaptin,413.0
Never Had A Love,348.0
Shout It Out Loud,810.0
Here You Come Again,57.0
"1,000 Laughs",546.0
So Long,288.0
Come Sail Away,176.0
Ain't Gonna' Hurt Nobody,368.0
Supernature,350.0
Turn To Stone,195.0
"Curious Mind (Um, Um, Um, Um, Um, Um)",410.0
"What's Your Name, What's Your Number",392.0
Home Bound,280.0
Serpentine Fire,234.0
Slip Slidin' Away,100.0
Mind Bender,598.0
Hey Deanie,112.0
Le Spank,870.0
I Can't Hold On,304.0
Too Hot Ta Trot,288.0
Desiree,224.0
Galaxy,351.0
Cocomotion,660.0
Street Corner Serenade,420.0
Ffun,299.0
"Let It Go, Let It Flow",360.0
Everybody Loves A Rain Song,344.0
California,250.0
Theme From Close Encounters,250.0
Don't Let Me Be Misunderstood,285.0
Silver Dreams,371.0
Storybook Children (Daybreak),570.0
Until Now,1152.0
Love Me Right,800.0
Native New Yorker,399.0
Poor Poor Pitiful Me,279.0
"Theme From ""Close Encounters Of The Third Kind""",182.0
You're In My Heart (The Final Acclaim),88.0
Short People,40.0
Peg,209.0
Miss Broadway,368.0
Love Is All You Need,445.0
Honey Don't Leave L.a.,366.0
What's Your Name,234.0
(Any Way That You Want It) I'll Be There,316.0
Disco Rufus,440.0
"I Love You, I Love You, I Love You",324.0
Little One,396.0
We Fell In Love While Dancing,560.0
The Name Of The Game,192.0
Hollywood,490.0
Happy Anniversary,288.0
It's You That I Need,363.0
It Amazes Me,413.0
I Love My Music,552.0
Boogie Shoes,350.0
Mammas Don't Let Your Babies Grow Up To Be Cowboys,420.0
Falling,364.0
Hot Legs,308.0
(What A) Wonderful World,238.0
Sometimes When We Touch,66.0
Never Get Enough Of Your Love,392.0
Dancin' Fever,648.0
Rocket Ride,390.0
Ready For The Times To Get Better,520.0
"Sweet, Sweet Smile",572.0
The Circle Is Small (I Can See It In Your Eyes),396.0
That's Your Secret,500.0
"Theme Song From ""Which Way Is Up""",294.0
Baby Come Back,32.0
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",168.0
Before My Heart Finds Out,322.0
"Let Me Party With You (Part 1) (Party, Party, Party)",473.0
Thunder Island,189.0
You Got That Right,276.0
I'm Gonna Take Care Of Everything,308.0
Don't Cost You Nothing,711.0
How Deep Is Your Love,33.0
"Yank Me, Crank Me",406.0
"Music, Harmony And Rhythm",456.0
You'll Love Again,497.0
Do You Wanna Dance,430.0
Lady Love,408.0
(Love Is) Thicker Than Water,29.0
Always And Forever,360.0
Ain't Gonna Eat Out My Heart Anymore,352.0
Fooling Yourself (The Angry Young Man),406.0
Thank You For Being A Friend,375.0
Make You Feel Love Again,315.0
Emotion,81.0
I Go Crazy,280.0
(I Will Be Your) Shadow In The Street,410.0
Runnin' With The Devil,336.0
Flash Light,256.0
Wheel In The Sky,456.0
I'm On My Way,444.0
Mama Let Him Play,576.0
Where Have You Been All My Life,486.0
Goodbye Girl,360.0
Running On Empty,187.0
Since You Been Gone,368.0
Jack And Jill,168.0
Our Love,210.0
Sweet Talkin' Woman,272.0
Let's All Chant,504.0
Two Doors Down,228.0
Lay Down Sally,69.0
Stayin' Alive,27.0
Werewolves Of London,252.0
Can't Smile Without You,57.0
You Keep Me Dancing,392.0
Weekend Lover,399.0
Movin' Out (Anthony's Song),238.0
Imaginary Lover,119.0
Midnight Light,364.0
The Closer I Get To You,40.0
Cheeseburger In Paradise,352.0
Ca Plane Pour Moi,470.0
Warm Ride,429.0
Oh What A Night For Dancing,264.0
Baby Hold On,220.0
So Hard Livin' Without You,372.0
"God Knows/Baby, I'm Yours",518.0
On Broadway,126.0
Shaker Song,450.0
On The Wrong Track,328.0
Portrait (He Knew),384.0
Almost Summer,336.0
Deacon Blues,304.0
I Was Only Joking,264.0
You Can't Dance,392.0
With A Little Luck,18.0
Roll With The Changes,638.0
Stone Blue,360.0
I Don't Wanna Go,344.0
Dance Across The Floor,684.0
"Too Much, Too Little, Too Late",18.0
Even Now,247.0
Feels So Good,100.0
You're The Love,288.0
Daylight And Darkness,600.0
"Hot Love, Cold World",310.0
Only The Good Die Young,312.0
Love Is Like Oxygen,200.0
Only One Love In My Life,378.0
Follow You Follow Me,368.0
I Can't Wait Any Longer,320.0
You Don't Love Me Anymore,371.0
I Can't Stand The Rain,396.0
Bluer Than Blue,192.0
Break It To Them Gently,425.0
You Belong To Me,108.0
That Once In A Lifetime,517.0
It's A Heartache,63.0
Wild In The Streets,348.0
Chattanooga Choo Choo,544.0
Rumor At The Honky Tonk,267.0
Will You Still Love Me Tomorrow,468.0
Take A Chance On Me,54.0
Thank God It's Friday,352.0
Two Out Of Three Ain't Bad,253.0
On The Strip,335.0
I've Had Enough,275.0
It's Really You,516.0
Baker Street,40.0
Use Ta Be My Girl,76.0
Can We Still Be Friends,435.0
Wonderful Tonight,272.0
If You Wanna Do A Dance,294.0
I'm Not Gonna Let It Bother Me Tonight,182.0
King Tut,255.0
Arms Of Mary,402.0
Flyin',424.0
Still The Same,72.0
Stay/The Load-Out,300.0
Life's Been Good,180.0
Takin' It Easy,237.0
Ain't Nothing Gonna Keep Me From You,516.0
In For The Night,258.0
She Loves To Be In Love,378.0
Livingston Saturday Night,312.0
Raise A Little Hell,472.0
Rivers Of Babylon,510.0
Our Night,240.0
Copacabana (at The Copa),128.0
My Angel Baby,221.0
Stuff Like That,336.0
New Orleans Ladies,826.0
Macho Man,375.0
Shake And Dance With Me,360.0
Think It Over,374.0
Last Dance,63.0
A Rock 'N' Roll Fantasy,330.0
Shadow Dancing,25.0
Close The Door,325.0
Brandy,237.0
What Goes Up,261.0
All I See Is Your Face,369.0
Paradise By The Dashboard Light,390.0
If My Friends Could See Me Now,432.0
Crazy Feelin',324.0
"Love Theme From ""Eyes Of Laura Mars"" (Prisoner)",252.0
Fool If You Think It's Over,180.0
Peggy Sue,354.0
Hot Blooded,51.0
When You Feel Love,455.0
Shame,171.0
Holding On (When Love Is Gone),490.0
Magnet And Steel,176.0
An Everlasting Love,80.0
Martha (Your Lovers Come And Go),292.0
Oh! Darling,180.0
Three Times A Lady,20.0
Take Me I'm Yours,264.0
Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,497.0
Almost Like Being In Love,384.0
London Town,312.0
5.7.0.5.,324.0
Hollywood Nights,156.0
New York City,608.0
Josie,286.0
I Will Still Love You,406.0
Do You Feel All Right,315.0
Mellow Lovin',325.0
"So Young, So Bad",243.0
Searching For A Thrill,348.0
Took The Last Train,420.0
Don't Look Back,52.0
Hopelessly Devoted To You,57.0
Themes From The Wizard Of Oz,350.0
She's Always A Woman,255.0
Prisoner Of Your Love,297.0
Substitute,800.0
Boogie Oogie Oogie,23.0
Wavelength,462.0
Flying High,380.0
Like A Sunday In Salem (The Amos & Andy Song),400.0
Who Are You,210.0
(You Got To Walk And) Don't Look Back,405.0
Dancing In Paradise,546.0
Beast Of Burden,104.0
Whatever Happened To Benny Santini?,284.0
Love Is In The Air,147.0
Kiss You All Over,23.0
On The Shelf,380.0
Get Off,189.0
Blame It On The Boogie,324.0
"Whenever I Call You ""Friend""",100.0
Everybody Needs Love,416.0
Fun Time,344.0
#1 Dee Jay,410.0
Driftwood,413.0
The Wedding Song (There Is Love),324.0
Hot Shot,1040.0
Blue Collar Man (Long Nights),294.0
One Nation Under A Groove - Part I,392.0
This Is Love,385.0
You Never Done It Like That,220.0
There'll Never Be,468.0
Ready To Take A Chance Again,176.0
Can You Fool,418.0
Well All Right,552.0
Don't Want To Live Without It,336.0
Run For Home,462.0
Forever Autumn,611.0
Hot Child In The City,31.0
Light The Sky On Fire,396.0
Your Sweetness Is My Weakness,540.0
Alive Again,182.0
Need You Bad,168.0
Part-Time Love,220.0
Ain't That Enough For You,356.0
The Power Of Gold,336.0
Got To Have Loving,1072.0
Sweet Life,357.0
Mary Jane,492.0
I'm Every Woman,336.0
Straight On,270.0
I Will Be In Love With You,420.0
Mary's Boy Child/Oh My Lord,425.0
Easy Driver,480.0
How Much I Feel,63.0
"Hold Me, Touch Me",552.0
Animal House,365.0
Silver Lining,372.0
The Dream Never Dies,624.0
My Best Friend's Girl,525.0
Bicycle Race/Fat Bottomed Girls,288.0
I Just Wanna Stop,84.0
Moment By Moment,354.0
This Moment In Time,348.0
Please Come Home For Christmas,144.0
Who Do Ya Love,544.0
Strange Way,209.0
Instant Replay,493.0
Chip Away The Stone,231.0
Lost In Your Love,495.0
Double Vision,40.0
The Football Card,230.0
How You Gonna See Me Now,192.0
You Took The Words Right Out Of My Mouth,507.0
A Man I'll Never Be,372.0
One Last Kiss,455.0
A Little Lovin' (Keeps The Doctor Away),549.0
I Don't Wanna Lose You,420.0
Sharing The Night Together,132.0
Promises,162.0
Lonely Wind,300.0
Bad Brakes,332.0
You Don't Bring Me Flowers,17.0
Take That To The Bank,474.0
For You And I,255.0
Love Don't Live Here Anymore,352.0
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me),812.0
Dancing In The City,473.0
Sing For The Day,328.0
Home And Dry,364.0
Ooh Baby Baby,112.0
Shoot Me (With Your Love),455.0
Take Me To The River,442.0
"Baby, I Need Your Lovin'",310.0
I Go To Rio,368.0
Aqua Boogie (A Psychoalphadiscobetabioaquadoloop),178.0
New York Groove,273.0
"Pops, We Love You (A Tribute To Father)",472.0
Run Home Girl,639.0
The Man With The Child In His Eyes,340.0
Every 1's A Winner,108.0
Don't Stop Me Now,344.0
You Can't Win (Part 1),243.0
Wheels Of Life,390.0
Four Strong Winds,427.0
You Make Me Feel (Mighty Real),360.0
"Blue Morning, Blue Day",210.0
Haven't Stopped Dancing Yet,312.0
Song On The Radio,261.0
I'm Not Gonna Cry Anymore,264.0
It Hurts So Bad,280.0
Lazy Eyes,364.0
Somewhere In The Night,135.0
Dancin' Shoes,288.0
Our Love Is Insane,561.0
Got To Be Real,216.0
Every Which Way But Loose,330.0
A Little More Love,60.0
Too Much Heaven,21.0
Dog + Butterfly,340.0
Watch Out For Lucy,280.0
Love And Desire (Part I),350.0
Body Heat,172.0
Y.M.C.A.,52.0
Fire,46.0
Elena,360.0
I'll Come Running,328.0
Oh Honey,540.0
Rubber Biscuit,296.0
Big Shot,154.0
Every Time I Think Of You,208.0
Maybe I'm A Fool,286.0
Can You Read My Mind,468.0
Keep On Dancin',410.0
Crazy Love,238.0
You Says It All,288.0
Love Is Gonna Come At Last,276.0
Gone Long Gone,219.0
I Never Said I Love You,420.0
Touch Me Baby,246.0
Feelin' Satisfied,322.0
How Could This Go Wrong,176.0
Give Me An Inch,335.0
Dancer,288.0
Superman,468.0
Da Ya Think I'm Sexy?,21.0
High On Your Love Suite,432.0
Shake Your Groove Thing,110.0
Roller,374.0
I Need Your Help Barry Manilow,392.0
Roxanne,416.0
Mirror Star,324.0
Sweet Lui-Louise,360.0
There But For The Grace Of God Go I,770.0
Good Times Roll,410.0
Happiness,300.0
Heaven Knows,76.0
Sultans Of Swing,60.0
Precious Love,285.0
Theme From Ice Castles (Through The Eyes Of Love),304.0
Don't You Write Her Off,363.0
"Pinball, That's All",192.0
Just The Same Way,464.0
Night Dancin',296.0
Bang A Gong,408.0
Blow Away,224.0
What A Fool Believes,20.0
One Chain (Don't Make No Prison),472.0
Music Box Dancer,60.0
Knock On Wood,20.0
Can't Keep A Good Man Down,315.0
Such A Woman,338.0
Church,219.0
I Will Survive,27.0
Bustin' Out,426.0
I Got My Mind Made Up (You Can Get It Girl),360.0
Take Me Home,152.0
Can't Sleep,459.0
He's The Greatest Dancer,171.0
"Saturday Night, Sunday Morning",442.0
Star Love,620.0
I Want Your Love,133.0
Stumblin' In,88.0
My Baby's Baby,405.0
Dance With You,490.0
Feel The Need,456.0
Tragedy,20.0
Say Maybe,385.0
Little Bit Of Soap,408.0
Honesty,264.0
Music Box,450.0
Boogie Woogie Dancin' Shoes,672.0
Hot Number,315.0
Ain't Love A Bitch,264.0
Deeper Than The Night,143.0
Love Is The Answer,180.0
Heart Of Glass,21.0
Goodnight Tonight,80.0
Shake Your Body (Down To The Ground),154.0
You're My Weakness,304.0
If You Can't Give Me Love,360.0
Feel That You're Feelin',335.0
Wasn't It Good,343.0
(Wish I Could Fly Like) Superman,492.0
Disco Nights (Rock-Freak),216.0
In The Navy,54.0
Do You Wanna Go Party,500.0
Don't Ever Wanna Lose Ya,480.0
Renegade,304.0
Go West,405.0
Cuba,405.0
I'll Know Her When I See Her,316.0
Vengeance,336.0
Make Love To Me,600.0
Get Used To It,399.0
When I Dream,252.0
Here I Go (Fallin' In Love Again),228.0
You Angel You,406.0
Light My Fire/137 Disco Heaven,414.0
Motown Review,335.0
Keep On Running Away,324.0
Rock 'n' Roll Fantasy,260.0
Married Men,360.0
Just When I Needed You Most,80.0
Long Live Rock,324.0
Minute By Minute,196.0
Dance The Night Away,225.0
Days Gone Down (Still Got The Light In Your Eyes),170.0
Chuck E.'s In Love,60.0
She Believes In Me,80.0
Shadows In The Moonlight,300.0
The Logical Song,126.0
Kiss In The Dark,407.0
Weekend,348.0
Getting Closer,200.0
Reunited,23.0
We've Got Love,352.0
Last Of The Singing Cowboys,336.0
I Can't Stand It No More,182.0
Why Leave Us Alone,275.0
Ain't No Stoppin' Us Now,234.0
Love You Inside Out,19.0
Shine A Little Love,120.0
Boogie Wonderland,96.0
Rocky II Disco,328.0
Do It Or Die,266.0
Do It Good,316.0
Totally Hot,312.0
Frederick,270.0
I Want You To Want Me,133.0
H.a.p.p.y. Radio,395.0
You've Got Another Thing Coming,432.0
We Are Family,38.0
You Gonna Make Me Love Somebody Else,418.0
Rock And Roll Dancin',318.0
Makin' It,120.0
The Topical Song,210.0
Best Beat In Town,552.0
Hot Stuff,21.0
Voulez-Vous,240.0
Is She Really Going Out With Him?,315.0
Baby I Want You,470.0
Got To Give In To Love,344.0
I've Got The Next Dance,365.0
Morning Dance,360.0
Where Will Your Heart Take You,315.0
Girl Of My Dreams,444.0
Crank It Up (Funk Town) Pt. 1,516.0
You Can't Change That,198.0
Saturdaynight,385.0
Suspicions,221.0
In Thee,296.0
Hot Summer Nights,270.0
When You're In Love With A Beautiful Woman,150.0
Must Have Been Crazy,415.0
Children Of The Sun,410.0
Ghost Dancer,360.0
"Hello, Hello, Hello",345.0
Mama Can't Buy You Love,162.0
Ain't That A Shame,350.0
The Main Event/Fight,51.0
Bad Girls,20.0
Goodbye Stranger,210.0
I'm So Anxious,284.0
Remember (Walking In The Sand),387.0
Sweet Summer Lovin',231.0
All Things Are Possible,390.0
Hold On To The Night,320.0
Get A Move On,368.0
Hell On Wheels,295.0
Killer Cut,360.0
Boom Boom (Out Go The Lights),392.0
Angeleyes,320.0
Different Worlds,288.0
The Devil Went Down To Georgia,54.0
What Cha Gonna Do With My Lovin',308.0
I Do Love You,340.0
Born To Be Alive,304.0
After The Love Has Gone,34.0
"Bad Case Of Loving You (Doctor, Doctor)",210.0
Do You Think I'm Disco?,348.0
Arrow Through Me,290.0
Good Friend,468.0
Reason To Be,416.0
Lead Me On,115.0
Cruel To Be Kind,180.0
Starry Eyes,336.0
Fooled By A Feeling,445.0
Get It Right Next Time,273.0
Sure Know Something,517.0
5:15,315.0
"Hey Hey, My My (Into The Black)",395.0
She's Got A Whole Number,348.0
Don't Bring Me Down,60.0
Midnight Wind,336.0
Pow Wow,228.0
Found A Cure,468.0
Heaven Must Have Sent You,253.0
Sad Eyes,27.0
(Not Just) Knee Deep - Part 1,308.0
Lonesome Loser,108.0
Fins,385.0
Who Listens To The Radio,315.0
Gotta Serve Somebody,288.0
I Know A Heartache When I See One,418.0
What Can I Do With This Broken Heart,300.0
(Bringing Out) The Girl In Me,365.0
Sail On,68.0
In The Stone,406.0
Life During Wartime (This Ain't No Party...This Ain't No Disco...This Ain't,400.0
"Lovin', Touchin', Squeezin'",320.0
I'll Never Love This Way Again,120.0
My Forbidden Lover,387.0
Street Life,576.0
Dream Police,260.0
What's A Matter Baby,368.0
Confusion,296.0
"So Good, So Right",510.0
Lay It On The Line,602.0
Highway To Hell,470.0
It's All I Can Do,410.0
Good Girls Don't,176.0
Cruel Shoes,364.0
Let Me Know (I Have A Right),546.0
Roller-Skatin' Mate (Part I),264.0
Get It Up,473.0
No Chance,350.0
Don't Stop 'til You Get Enough,21.0
Ready For The 80's,468.0
If You Remember Me,323.0
Message In A Bottle,518.0
I Still Have Dreams,429.0
Rainbow Connection,425.0
Half The Way,240.0
Video Killed The Radio Star,400.0
Heartache Tonight,15.0
Let Me Sleep Alone,352.0
Rise,25.0
Broken Hearted Me,204.0
I Need A Lover,392.0
Ships,126.0
You're Gonna Get What's Coming,438.0
"Train, Train",532.0
Pop Muzik,24.0
Take The Long Way Home,150.0
I Want You Tonight,304.0
Shooting Star,444.0
Chiquitita,348.0
Rapper's Delight,432.0
Make Believe It's Your First Time,312.0
Trust Me,270.0
Savannah Nights,408.0
Takin' It Back,368.0
Stargazer,472.0
Dig The Gold,504.0
Babe,19.0
Holdin' On For Dear Love,600.0
Still,20.0
Memorize Your Number,540.0
Rotation,390.0
Jane,210.0
Got To Love Somebody,320.0
I Don't Want To Be Lonely,435.0
Cool Change,180.0
Better Love Next Time,228.0
Last Train To London,429.0
The Hardest Part,252.0
Third Time Lucky (First Time I Was A Fool),345.0
Looks Like Love Again,451.0
I Like To Rock,258.0
Small Paradise,261.0
Wait For Me,342.0
Send One Your Love,72.0
I Don't Want To Talk About It,506.0
Lost Her In The Sun,442.0
Do You Love What You Feel,450.0
Escape (The Pina Colada Song),21.0
I Wanna Be Your Lover,176.0
Bad Times,470.0
Don't Let Go,378.0
The Long Run,120.0
Don't Do Me Like That,180.0
Ladies Night,192.0
I Shoulda Loved Ya,396.0
Wonderland,375.0
Coward Of The County,57.0
Kiss Me In The Rain,407.0
Love's Only Love,166.0
"Let Me Go, Love",385.0
Cruisin',100.0
Love On The Phone,174.0
This Is It,253.0
Haven't You Heard,378.0
Us And Love (We Go Together),352.0
When I Wanted You,320.0
Rockin' Into The Night,387.0
"Computer Game ""Theme From The Circus""",540.0
Where Does The Lovin' Go,368.0
It's Like We Never Said Goodbye,378.0
Baby Talks Dirty,304.0
Loving You With My Eyes,426.0
In It For Love,300.0
I Don't Need You Anymore,430.0
Back On My Feet Again,396.0
A Lesson In Leavin',365.0
"Bounce, Rock, Skate, Roll Pt. 1",243.0
High On Your Love,280.0
Survive,385.0
Romeo's Tune,209.0
September Morn',272.0
My Heroes Have Always Been Cowboys,440.0
Daydream Believer,204.0
Women,369.0
An American Dream,247.0
Scandal,188.0
Do That To Me One More Time,27.0
Today Is The Day,300.0
Come Back,384.0
A Certain Girl,399.0
Love On A Shoestring,385.0
"Yes, I'm Ready",46.0
You Are My Heaven,517.0
Don't Cry For Me Argentina,576.0
Refugee,210.0
Even It Up,396.0
Years,455.0
Say Goodbye To Little Jo,255.0
Goin' On,249.0
You've Got What I Need,304.0
Stay In Time,357.0
Give It All You Got,288.0
Borrowed Time,384.0
The Good Lord Loves You,402.0
I Was Looking For Someone To Love,390.0
It's A Night For Beautiful Girls,268.0
Three Times In Love,304.0
It Takes Time,237.0
The Second Time Around,184.0
Can't Put A Price On Love,372.0
Him,102.0
Longer,44.0
Let Me Be,344.0
You're My Blessing,231.0
Set Me Free,324.0
Somewhere In America,840.0
Just For The Moment,246.0
Keep The Fire,468.0
Crazy Little Thing Called Love,22.0
Catching The Sun,340.0
Too Hot,90.0
White Hot,336.0
Fire In The Morning,416.0
Midnight Rendezvous,288.0
Lucky Me,336.0
Special Lady,90.0
I Pledge My Love,361.0
When The Feeling Comes Around,360.0
Think About Me,260.0
"Working My Way Back To You/Forgive Me, Girl",50.0
Starting Over Again,360.0
Hold On To My Love,140.0
Off The Wall,170.0
It's Hard To Be Humble,516.0
Any Way You Want It,345.0
It's Not A Wonder,306.0
Headed For A Fall,315.0
I Can't Tell You Why,128.0
Dancin' Like Lovers,288.0
Do Right,322.0
Fool For A Pretty Face (Hurt By Love),364.0
Here Comes My Girl,413.0
Pilot Of The Airwaves,221.0
Don't Say Goodnight (It's Time For Love) (Parts 1 & 2),351.0
Happy Together (A Fantasy),318.0
Heart Hotels,273.0
Let Me Be The Clock,434.0
Love And Loneliness,390.0
I Can Survive,182.0
Run Like Hell,318.0
With You I'm Born Again,116.0
Sisters Of The Moon,258.0
Gee Whiz,403.0
The Very Last Time,228.0
Only The Lonely (Have A Reason To Be Sad),182.0
Coming Down From Love,420.0
Take You Tonight,335.0
You May Be Right,105.0
I Don't Want To Walk Without You,396.0
We Were Meant To Be Lovers,434.0
New Romance (It's A Mystery),429.0
Love Stinks,456.0
Twilight Zone/Twilight Tone,360.0
Time For Me To Fly,1001.0
We Live For Love,378.0
Dancing With The Mountains,291.0
Ride Like The Wind,42.0
Power,387.0
Another Brick In The Wall (Part II),25.0
Clones (We're All),360.0
Lost In Love,69.0
Brass In Pocket (I'm Special),308.0
Answering Machine,352.0
Angel Say No,304.0
Atomic,351.0
It Hurts Too Much,150.0
I'm Happy Just To Dance With You,384.0
Cheap Sunglasses,178.0
Two Places At The Same Time,420.0
All Night Thing,450.0
Somethin' 'Bout You Baby I Like,420.0
Stomp!,133.0
"Theme From New York, New York",384.0
Sweet Sensation,312.0
Everything Works If You Let It,440.0
When Things Go Wrong,261.0
I Get Off On It,395.0
Who Shot J.R.?,335.0
The Blue Side,648.0
Alabama Getaway,408.0
Don't Fall In Love With A Dreamer,76.0
Cars,225.0
She's Out Of My Life,160.0
Dancin' In The Streets,396.0
Call Me,25.0
Should've Never Let You Go,361.0
King Of The Hill,504.0
Where Did We Go Wrong,360.0
A Lover's Holiday,520.0
Landlord,414.0
Just Can't Wait,390.0
Cry Just A Little,312.0
Whatever You Decide,231.0
Beyond,400.0
My Mistake,648.0
Walks Like A Lady,416.0
That Lovin' You Feelin' Again,440.0
One More Time For Love,520.0
Everything Is Alright,258.0
Shiver And Shake,405.0
Against The Wind,85.0
Play The Game,378.0
Shandi,470.0
Love That Got Away,450.0
Gimme Some Lovin',252.0
Let Me Love You Tonight,170.0
Let's Get Serious,207.0
Funkytown,23.0
"Honey, Honey",649.0
Free Me,530.0
You Can Call Me Blue,258.0
Love The World Away,168.0
The Royal Mile (Sweet Darlin'),432.0
In America,165.0
The Rose,75.0
One Fine Day,204.0
Empire Strikes Back (Medley),252.0
First...Be A Woman,424.0
I Can't Let Go,372.0
Tired Of Toein' The Line,152.0
Steal Away,138.0
Coming Up (Live At Glasgow),21.0
Rock It,448.0
Misunderstanding,252.0
Late At Night,342.0
Little Jeannie,63.0
Tulsa Time/Cocaine,420.0
Under The Gun,480.0
Cupid/I've Loved You For A Long Time,76.0
I Hear You Now,348.0
Why Not Me,252.0
First Time Love,380.0
Take A Little Rhythm,255.0
Make A Little Magic,400.0
You Better Run,462.0
JoJo,289.0
Lola,1620.0
Rebels Are We,366.0
You're Supposed To Keep Your Love For Me,442.0
More Love,190.0
The Part Of Me That Needs You Most,392.0
Good Morning Girl/stay Awhile,440.0
It's Still Rock And Roll To Me,21.0
How Does It Feel To Be Back,390.0
The Breaks (Part 1),522.0
Shining Star,125.0
Let My Love Open The Door,171.0
One Life To Live,184.0
My Guy/My Girl,504.0
Boulevard,304.0
Take Your Time (Do It Right) Part 1,63.0
I've Just Begun To Love You,522.0
Games Without Frontiers,528.0
(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?,468.0
Magic,23.0
My Prayer,470.0
Turn It On Again,464.0
I Love Women,360.0
A Little Is Enough,288.0
Case Of You,402.0
Love Theme From Shogun (Mariko's Theme),280.0
Sailing,21.0
"Girl, Don't Let It Get You Down",605.0
Angeline,464.0
Midnight Rain,296.0
Don't Ask Me Why,285.0
Someone That I Used To Love,441.0
One In A Million You,180.0
You're The Only Woman (You & I),234.0
Emotional Rescue,57.0
You'll Accomp'ny Me,224.0
No Night So Long,368.0
More Bounce To The Ounce Part I,602.0
Private Idaho,370.0
All Over The World,208.0
Heroes,486.0
Who'll Be The Fool Tonight,406.0
I'm Almost Ready,442.0
The Legend Of Wooley Swamp,434.0
Hot Rod Hearts,270.0
Touch And Go,407.0
Let's Do Something Cheap And Superficial,440.0
Let Me Talk,396.0
Midnight Rocks,312.0
Who Were You Thinkin' Of,343.0
Live Every Minute,462.0
Let's Be Lovers Again,390.0
Love X Love,366.0
Late In The Evening,96.0
Real People/Chip Off The Old Block,237.0
Xanadu,136.0
Lookin' For Love,105.0
Don't Say No,340.0
Rough Boys,356.0
Could I Have This Dance,462.0
Drivin' My Life Away,125.0
I Could Be Good For You,468.0
Fame,104.0
Blues Power,380.0
Give Me The Night,92.0
If You Should Sail,532.0
All Out Of Love,54.0
Brite Eyes,594.0
Texas In My Rear View Mirror,459.0
Look What You've Done To Me,238.0
You Shook Me All Night Long,560.0
One-Trick Pony,440.0
Jesse,253.0
Help Me!,500.0
Once A Night,376.0
I Can't Stop The Feelin',462.0
Spend The Night In Love,455.0
Gypsy Spirit,623.0
This Time,459.0
Trickle Trickle,584.0
Let Me Be Your Angel,504.0
Toccata,166.0
Without Your Love,380.0
On The Road Again,400.0
What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?),414.0
Out Here On My Own,437.0
I'm Happy That Love Has Found You,459.0
He's So Shy,78.0
Stop This Game,576.0
Easy Love,620.0
Never Knew Love Like This Before,150.0
Lovely One,216.0
Upside Down,29.0
Switchin' To Glide/This Beat Goes On,989.0
Girls Can Get It,476.0
Fashion,630.0
Turn And Walk Away,504.0
Don't Want No-Body,474.0
Sequel,322.0
Gotta Have More Love,564.0
Breakfast In America,496.0
I Believe In You,480.0
Dreaming,220.0
I'm Coming Out,115.0
Need Your Loving Tonight,484.0
You've Lost That Lovin' Feeling,240.0
Remote Control,1157.0
Woman In Love,24.0
Everybody's Got To Learn Sometime,342.0
Theme From The Dukes Of Hazzard (Good Ol' Boys),483.0
"Wynken, Blynken And Nod",304.0
Whip It,350.0
Seasons,300.0
Cold Love,396.0
United Together,448.0
My Mother's Eyes,507.0
Skateaway,580.0
Love T.K.O.,572.0
Master Blaster (Jammin'),115.0
Fool That I Am,552.0
More Than I Can Say,46.0
Shine On,640.0
Long Time Lovin' You,595.0
Cafe Amore,385.0
Full Of Fire,660.0
I Made It Through The Rain,160.0
Hungry Heart,90.0
Theme From Raging Bull (Cavalleria Rusticana),246.0
Tell It Like It Is,128.0
Love On The Airwaves,261.0
He Can't Love You,528.0
Love On The Rocks,40.0
Time Is Time,255.0
Keep This Train A-Rollin',310.0
Hit Me With Your Best Shot,216.0
Another One Bites The Dust,31.0
And Love Goes On,413.0
Every Woman In The World,110.0
Lady,25.0
Lipstick,459.0
Staying With It,333.0
Seven Bridges Road,294.0
Killin' Time,504.0
The Rambler,273.0
Too Tight,400.0
Guilty,66.0
Back In Black,555.0
Together,378.0
Where's Your Angel?,264.0
Passion,100.0
(Ghost) Riders In The Sky,465.0
8th Wonder,738.0
Hey Nineteen,190.0
Yesterday Once More/Nothing Remains The Same,416.0
Bon Bon Vie (Gimme The Good Life),504.0
Same Old Lang Syne,162.0
Giving It Up For Your Love,152.0
It's My Job,456.0
Ah! Leah!,522.0
Burn Rubber (Why You Wanna Hurt Me),672.0
All American Girls,395.0
I Have The Skill,427.0
I Ain't Gonna Stand For It,209.0
Somebody Special,355.0
Guitar Man,560.0
Lovers After All,486.0
Hearts On Fire,285.0
Me (Without You),320.0
Who Do You Think You're Foolin',440.0
Playing With Lightning,355.0
That Didn't Hurt Too Bad,276.0
The Tide Is High,26.0
Somebody Send My Baby Home,385.0
Limelight,495.0
